,t,y1,u1
0,0.014820727715932252,0.0,0.0
1,0.029869427114788242,0.001259345819090922,-0.018545283037097775
2,0.1128744963848429,-1.462689171372571,-0.03256713357117681
3,0.15809980138535634,-2.6532323132513795,-0.014791980992719014
4,0.18476401947702534,-3.166448415263343,0.011219092948456615
5,0.2463394567694914,-2.940791264114868,0.05023695003694369
6,0.311548887026652,-0.1557845198126039,0.07149905835818757
7,0.3450354513481379,2.48778170886639,0.07965183498101402
8,0.3984657669655894,7.374919244466765,0.07202784973004714
9,0.43990406837955126,10.956123503086662,0.06374458413893105
10,0.48762351218613825,12.671151586542154,0.06158482518451423
11,0.5262022435077041,13.791912129920625,0.06130077156083804
12,0.5875560463618834,18.67561976526272,0.05063071638665164
13,0.6640320910833036,22.657035000263612,0.048806303334644245
14,0.6989145038577529,24.465692085081457,0.07158382060474947
15,0.7419737573607269,26.81613745425269,0.0947632763739297
16,0.805385933859295,34.23242446010499,0.12238087149099713
17,0.8600281640595563,37.790318704351144,0.15412332127327982
18,0.8921183670851756,45.093977329486144,0.19626818297913337
19,0.9281566694613747,49.845207868134516,0.21257586487637758
20,1.0030857135933116,66.36352454054247,0.2405336471527706
21,1.0485732166229864,78.88545150239186,0.26840193606128754
22,1.11016408465786,88.92102080089948,0.30026983519773476
23,1.1654187600214152,109.71069219425975,0.3194729785026298
24,1.2000370375526344,129.6964273252368,0.3402486118189391
25,1.2414066209378083,132.62279068408748,0.3853921779502617
26,1.305233025011668,157.59706258744905,0.4325709728717424
27,1.354289471051806,187.53379094971487,0.47311194324192785
28,1.3922391785963353,194.25358478287907,0.5029089702301919
29,1.4409074248469176,227.84008413880412,0.5346052407653002
30,1.4977873405130322,248.57113137012465,0.5566307952723504
31,1.528488085905268,276.15449969515385,0.5423933555611612
32,1.5887549780847716,297.9400480048902,0.5164284379962785
33,1.646566692103899,333.00576174754104,0.5213196178721534
34,1.709197966097672,366.543687887169,0.5452637205778625
35,1.7690807629108534,403.5640108069623,0.5814616110994877
36,1.8070470918678525,409.1541501316731,0.6144170977748812
37,1.8374714188175338,445.4070530410493,0.6160264477003146
38,1.9033246214548047,473.4401519234529,0.6276236913695994
39,1.9422075151159246,495.9394949069164,0.6460384278644575
40,2.0047789550518234,543.8915883213846,0.6573351509752878
41,2.0589623671778745,573.2584981066858,0.6715972016448095
42,2.1030395888717988,604.2016320225844,0.6786376055825034
43,2.1471376498488115,628.3177158103393,0.6912578913552402
44,2.2113819038476343,680.2666238148396,0.6934432188210247
45,2.245503689700537,695.0890874038403,0.6878886624205447
46,2.2958217802391703,743.8811589474994,0.6839372566203634
47,2.338706865783642,759.4799965302637,0.6872739876640346
48,2.4004373475689746,805.354195193354,0.6841612584332099
49,2.441435655237566,837.1584714334149,0.6619814883011095
50,2.508720851723592,887.3799908208345,0.6378843363349508
51,2.554751984237128,917.2527854157513,0.6061832913034435
52,2.616114348307544,948.6162212980264,0.5602053982673679
53,2.6526054278892124,973.6800466471176,0.5228992203782007
54,2.6971223904226975,994.1185217496453,0.48960834673029896
55,2.7648385275646543,1041.9432230656655,0.4581531083749001
56,2.7997581973554024,1049.4047010157328,0.4294852985062188
57,2.8409269016710716,1058.371732132415,0.415935156681653
58,2.915951934901427,1092.7997933353745,0.3978236853898959
59,2.948071764432383,1103.139249406458,0.38537869026549965
60,2.9841817491861513,1118.3449702075743,0.35890343378127026
61,3.05335694798842,1145.372871314764,0.3774245721930782
62,3.115935710950808,1166.570652069815,0.3807223311369428
63,3.1540587401628755,1186.7862492423085,0.3937269934915211
64,3.193902279080034,1202.1313219646454,0.3801853367233291
65,3.2418734045064497,1217.8926584067203,0.3718034905032152
66,3.297432806882319,1239.3929495945895,0.36524820641288136
67,3.343418002479319,1255.0227572780188,0.3739535288099885
68,3.426194863009683,1284.6519939462987,0.39582304721876693
69,3.4417108700950316,1294.1202443780323,0.41074408064428414
70,3.4954361006308203,1311.4230095851133,0.4207705563791884
71,3.553183690230399,1340.9176637869493,0.43160679253589335
72,3.587503209251657,1352.642665773464,0.4476849531812444
73,3.647036314648752,1376.015840452546,0.4397917922410747
74,3.707066210164972,1410.1165269640896,0.4211543220080409
75,3.742011427274089,1417.9572409125703,0.4068699237849072
76,3.799928613529161,1440.5890622228603,0.3839417849256874
77,3.8409343560716627,1459.6671800024296,0.36658531501339175
78,3.8849362997208963,1470.7421918288087,0.3509967237932527
79,3.948902253195129,1498.273230361377,0.34264526032098236
80,4.002115195001378,1515.5554493402424,0.33724889710987027
81,4.05517907839452,1540.0037553748377,0.3361842484057118
82,4.117645634806631,1559.5602088956032,0.33666226417575834
83,4.143208623680324,1568.3544339330867,0.317931625290098
84,4.211016411428548,1586.30383535665,0.2887907673256384
85,4.251505669856853,1602.5094437616333,0.25564596218336966
86,4.291669973599941,1610.5416935616065,0.19752686278970405
87,4.350497992448839,1621.770327748354,0.14594434480852436
88,4.404346933584185,1629.785759270494,0.09204586504408697
89,4.451122100956338,1636.7693272320814,0.02615434186331945
90,4.489723687271436,1637.3225467437617,-0.03700797424559952
91,4.568490393887497,1634.445174421994,-0.09446703602178341
92,4.58609335320097,1634.1923668579177,-0.13083615045428554
93,4.64863445905127,1625.0009266335026,-0.16579948072247172
94,4.7101675387003645,1613.7949520622167,-0.21972655416036604
95,4.747764571580182,1606.3272486909227,-0.2690089996767475
96,4.806988508049991,1588.8349295062703,-0.28767687332164227
97,4.852386368820831,1575.189325380245,-0.28969769436441517
98,4.879216434519912,1573.8762250514167,-0.3153548885331216
