time: 0; power: 0.0; position: 0
time: 4.086236119; power: 0.0; position: 1
time: 4.089864453; power: 0.0; position: 1
time: 4.093738953; power: 0.0; position: 1
time: 4.097346287; power: 0.0; position: 1
time: 4.101083704; power: 0.0; position: 1
time: 4.104574662; power: 0.0; position: 1
time: 4.108202704; power: 0.0; position: 1
time: 4.111795163; power: 0.0; position: 1
time: 4.115242663; power: 0.0; position: 1
time: 4.120513372; power: 0.0; position: 1
time: 4.124078414; power: 0.0; position: 1
time: 4.12866954; power: 0.0; position: 1
time: 4.132129873; power: 0.0; position: 1
time: 4.135367665; power: 0.0; position: 1
time: 4.138629374; power: 0.0; position: 1
time: 4.142060833; power: 0.0; position: 1
time: 4.1453625; power: 0.0; position: 1
time: 4.1485965; power: 0.0; position: 1
time: 4.151841; power: 0.0; position: 1
time: 4.155015209; power: 0.0; position: 1
time: 4.158374334; power: 0.0; position: 1
time: 4.161722376; power: 0.0; position: 1
time: 4.16486946; power: 0.0; position: 1
time: 4.16848496; power: 0.0; position: 1
time: 4.171821336; power: 0.0; position: 1
time: 4.176157253; power: 0.0; position: 1
time: 4.179882128; power: 0.0; position: 1
time: 4.183310087; power: 0.0; position: 1
time: 4.187022129; power: 0.0; position: 1
time: 4.190440171; power: 0.0; position: 1
time: 4.194135005; power: 0.0; position: 1
time: 4.19741188; power: 0.0; position: 1
time: 4.200751464; power: 0.0; position: 1
time: 4.204177089; power: 0.0; position: 1
time: 4.207450173; power: 0.0; position: 1
time: 4.210973215; power: 0.0; position: 1
time: 4.214460965; power: 0.0; position: 1
time: 4.217825049; power: 0.0; position: 1
time: 4.221158507; power: 0.0; position: 1
time: 4.224522883; power: 0.0; position: 1
time: 4.228358591; power: 0.0; position: 1
time: 4.231612425; power: 0.0; position: 1
time: 4.235154717; power: 0.0; position: 1
time: 4.238575967; power: 0.0; position: 1
time: 4.241912634; power: 0.0; position: 1
time: 4.245212843; power: 0.0; position: 1
time: 4.248575177; power: 0.0; position: 1
time: 4.251854969; power: 0.0; position: 1
time: 4.255175886; power: 0.0; position: 1
time: 4.260163095; power: 0.0; position: 1
time: 4.263455137; power: 0.0; position: 1
time: 4.266898845; power: 0.0; position: 1
time: 4.270225887; power: 0.0; position: 1
time: 4.273499846; power: 0.0; position: 1
time: 4.277050305; power: 0.0; position: 1
time: 4.28029918; power: 0.0; position: 1
time: 4.283778764; power: 0.0; position: 1
time: 4.287552347; power: 0.0; position: 1
time: 4.290704681; power: 0.0; position: 1
time: 4.294072265; power: 0.0; position: 1
time: 4.297338932; power: 0.0; position: 1
time: 4.300860515; power: 0.0; position: 1
time: 4.304107057; power: 0.0; position: 1
time: 4.307361474; power: 0.0; position: 1
time: 4.310910766; power: 0.0; position: 1
time: 4.314614642; power: 0.0; position: 1
time: 4.318266892; power: 0.0; position: 1
time: 4.321545517; power: 0.0; position: 1
time: 4.324830268; power: 0.0; position: 1
time: 4.32796481; power: 0.0; position: 1
time: 4.33134931; power: 0.0; position: 1
time: 4.335136602; power: 0.0; position: 1
time: 4.339678728; power: 0.0; position: 1
time: 4.343066145; power: 0.0; position: 1
time: 4.346509562; power: 0.0; position: 1
time: 4.349778854; power: 0.0; position: 1
time: 4.355281437; power: 0.0; position: 1
time: 4.358343354; power: 0.0; position: 1
time: 4.36317073; power: 0.0; position: 1
time: 4.366680647; power: 0.0; position: 1
time: 4.370183564; power: 0.0; position: 1
time: 4.373514981; power: 0.0; position: 1
time: 4.377102773; power: 0.0; position: 1
time: 4.38044994; power: 0.0; position: 1
time: 4.383655357; power: 0.0; position: 1
time: 4.387168482; power: 0.0; position: 1
time: 4.390710191; power: 0.0; position: 1
time: 4.393961108; power: 0.0; position: 1
time: 4.397264817; power: 0.0; position: 1
time: 4.400724275; power: 0.0; position: 1
time: 4.404026817; power: 0.0; position: 1
time: 4.407332568; power: 0.0; position: 1
time: 4.410827901; power: 0.0; position: 1
time: 4.414365818; power: 0.0; position: 1
time: 4.417641819; power: 0.0; position: 1
time: 4.420825944; power: 0.0; position: 1
time: 4.424089111; power: 0.0; position: 1
time: 4.427538945; power: 0.0; position: 1
time: 4.431012987; power: 0.0; position: 1
time: 4.434411779; power: 0.0; position: 1
time: 4.437946487; power: 0.0; position: 1
time: 4.441063238; power: 0.0; position: 1
time: 4.444228696; power: 0.0; position: 1
time: 4.447619905; power: 0.0; position: 1
time: 4.450942864; power: 0.0; position: 1
time: 4.454490698; power: 0.0; position: 1
time: 4.457902614; power: 0.0; position: 1
time: 4.461297031; power: 0.0; position: 1
time: 4.464673948; power: 0.0; position: 1
time: 4.470021949; power: 0.0; position: 1
time: 4.473279283; power: 0.0; position: 1
time: 4.478851575; power: 0.0; position: 1
time: 4.514989954; power: 0.0; position: 1
time: 4.518075787; power: 0.0; position: 1
time: 4.520925079; power: 0.0; position: 1
time: 4.523725079; power: 0.0; position: 1
time: 4.527088288; power: 0.0; position: 1
time: 4.530043455; power: 0.0; position: 1
time: 4.532962164; power: 0.0; position: 1
time: 4.536208706; power: 0.0; position: 1
time: 4.539258664; power: 0.0; position: 1
time: 4.541985164; power: 0.0; position: 1
time: 4.546666123; power: 0.0; position: 1
time: 4.549683999; power: 0.0; position: 1
time: 4.552624291; power: 0.0; position: 1
time: 4.555458999; power: 0.0; position: 1
time: 4.558176458; power: 0.0; position: 1
time: 4.561094; power: 0.0; position: 1
time: 4.563931625; power: 0.0; position: 1
time: 4.566976917; power: 0.0; position: 1
time: 4.569915167; power: 0.0; position: 1
time: 4.573058459; power: 0.0; position: 1
time: 4.576562251; power: 0.0; position: 1
time: 4.581566669; power: 0.0; position: 1
time: 4.584965461; power: 0.0; position: 1
time: 4.588315544; power: 0.0; position: 1
time: 4.593158961; power: 0.0; position: 1
time: 4.596511962; power: 0.0; position: 1
time: 4.599753254; power: 0.0; position: 1
time: 4.603045004; power: 0.0; position: 1
time: 4.606436504; power: 0.0; position: 1
time: 4.609894505; power: 0.0; position: 1
time: 4.613176047; power: 0.0; position: 1
time: 4.616596714; power: 0.0; position: 1
time: 4.619765672; power: 0.0; position: 1
time: 4.622960589; power: 0.0; position: 1
time: 4.626384756; power: 0.0; position: 1
time: 4.629792298; power: 0.0; position: 1
time: 4.633015799; power: 0.0; position: 1
time: 4.636348674; power: 0.0; position: 1
time: 4.639703133; power: 0.0; position: 1
time: 4.643241633; power: 0.0; position: 1
time: 4.646658217; power: 0.0; position: 1
time: 4.649982925; power: 0.0; position: 1
time: 4.653826509; power: 0.0; position: 1
time: 4.65704651; power: 0.0; position: 1
time: 4.660284593; power: 0.0; position: 1
time: 4.663579552; power: 0.0; position: 1
time: 4.666950635; power: 0.0; position: 1
time: 4.672568136; power: 0.0; position: 1
time: 4.676440303; power: 0.0; position: 1
time: 4.67933947; power: 0.0; position: 1
time: 4.68232847; power: 0.0; position: 1
time: 4.685240471; power: 0.0; position: 1
time: 4.688014221; power: 0.0; position: 1
time: 4.690841638; power: 0.0; position: 1
time: 4.694068055; power: 0.0; position: 1
